Target Distance: 20, Step Size: 0.001
211: (x,y) = (0.125509, 0.142842)
212: (x,y) = (0.125768, 0.143808)
213: (x,y) = (0.126534, 0.144451)
214: (x,y) = (0.127454, 0.144841)
215: (x,y) = (0.128453, 0.144894)
216: (x,y) = (0.129012, 0.145723)
217: (x,y) = (0.129134, 0.146715)
218: (x,y) = (0.130119, 0.146889)
219: (x,y) = (0.130206, 0.147885)
220: (x,y) = (0.131089, 0.148355)
221: (x,y) = (0.131677, 0.149164)
222: (x,y) = (0.132568, 0.149618)
223: (x,y) = (0.132877, 0.150569)
224: (x,y) = (0.133855, 0.150776)
225: (x,y) = (0.134684, 0.151336)
226: (x,y) = (0.135472, 0.151951)
227: (x,y) = (0.135594, 0.152944)
228: (x,y) = (0.136568, 0.153169)
229: (x,y) = (0.137467, 0.153607)
230: (x,y) = (0.138373, 0.15403)
231: (x,y) = (0.138812, 0.154929)
232: (x,y) = (0.138881, 0.155926)
233: (x,y) = (0.139747, 0.156426)
234: (x,y) = (0.139921, 0.157411)
235: (x,y) = (0.140841, 0.157802)
236: (x,y) = (0.141232, 0.158722)
237: (x,y) = (0.142107, 0.159207)
238: (x,y) = (0.142916, 0.159795)
239: (x,y) = (0.143773, 0.16031)
240: (x,y) = (0.144099, 0.161255)
241: (x,y) = (0.144818, 0.16195)
242: (x,y) = (0.145026, 0.162928)
243: (x,y) = (0.145977, 0.163237)
244: (x,y) = (0.146253, 0.164198)
245: (x,y) = (0.146984, 0.16488)
246: (x,y) = (0.147276, 0.165837)
247: (x,y) = (0.148167, 0.166291)
248: (x,y) = (0.148836, 0.167034)
249: (x,y) = (0.149095, 0.168)
250: (x,y) = (0.150095, 0.168017)
251: (x,y) = (0.150924, 0.168576)
252: (x,y) = (0.15154, 0.169364)
253: (x,y) = (0.151627, 0.170361)
254: (x,y) = (0.152626, 0.170396)
255: (x,y) = (0.153572, 0.170721)
256: (x,y) = (0.154327, 0.171377)
257: (x,y) = (0.155266, 0.171719)
258: (x,y) = (0.155405, 0.17271)
259: (x,y) = (0.155423, 0.173709)
260: (x,y) = (0.155665, 0.17468)
261: (x,y) = (0.156513, 0.17521)
262: (x,y) = (0.15722, 0.175917)
263: (x,y) = (0.157822, 0.176715)
264: (x,y) = (0.158395, 0.177534)
265: (x,y) = (0.159392, 0.177622)
266: (x,y) = (0.160362, 0.177864)
267: (x,y) = (0.160604, 0.178834)
268: (x,y) = (0.160863, 0.1798)
269: (x,y) = (0.161492, 0.180577)
270: (x,y) = (0.161915, 0.181483)
271: (x,y) = (0.162122, 0.182461)
272: (x,y) = (0.163122, 0.182496)
273: (x,y) = (0.163226, 0.183491)
274: (x,y) = (0.164109, 0.18396)
275: (x,y) = (0.164179, 0.184958)
276: (x,y) = (0.164767, 0.185767)
277: (x,y) = (0.165267, 0.186633)
278: (x,y) = (0.165542, 0.187594)
279: (x,y) = (0.166535, 0.187716)
280: (x,y) = (0.167469, 0.188074)
281: (x,y) = (0.168463, 0.188179)
282: (x,y) = (0.169397, 0.188537)
283: (x,y) = (0.169639, 0.189508)
284: (x,y) = (0.169948, 0.190459)
285: (x,y) = (0.170463, 0.191316)
286: (x,y) = (0.170602, 0.192306)
287: (x,y) = (0.170637, 0.193305)
288: (x,y) = (0.171607, 0.193547)
289: (x,y) = (0.172528, 0.193938)
290: (x,y) = (0.173467, 0.19428)
291: (x,y) = (0.173937, 0.195163)
292: (x,y) = (0.174327, 0.196084)
293: (x,y) = (0.175082, 0.19674)
294: (x,y) = (0.175521, 0.197638)
295: (x,y) = (0.175846, 0.198584)
296: (x,y) = (0.175881, 0.199583)
297: (x,y) = (0.176072, 0.200565)
298: (x,y) = (0.177046, 0.20079)
299: (x,y) = (0.177405, 0.201723)
300: (x,y) = (0.178006, 0.202522)
301: (x,y) = (0.17875, 0.203191)
302: (x,y) = (0.179059, 0.204142)
303: (x,y) = (0.180015, 0.204435)
304: (x,y) = (0.180603, 0.205244)
305: (x,y) = (0.181494, 0.205698)
306: (x,y) = (0.181736, 0.206668)
307: (x,y) = (0.181805, 0.207666)
308: (x,y) = (0.182762, 0.207958)
309: (x,y) = (0.18376, 0.20801)
310: (x,y) = (0.184751, 0.208149)
311: (x,y) = (0.185745, 0.208254)
312: (x,y) = (0.186741, 0.208341)
313: (x,y) = (0.187132, 0.209262)
314: (x,y) = (0.187374, 0.210232)
315: (x,y) = (0.188173, 0.210834)
316: (x,y) = (0.18903, 0.211349)
317: (x,y) = (0.189737, 0.212056)
318: (x,y) = (0.189859, 0.213048)
319: (x,y) = (0.190151, 0.214005)
320: (x,y) = (0.190605, 0.214896)
321: (x,y) = (0.191261, 0.21565)
322: (x,y) = (0.192256, 0.215755)
323: (x,y) = (0.192678, 0.216661)
324: (x,y) = (0.1928, 0.217654)
325: (x,y) = (0.193025, 0.218628)
326: (x,y) = (0.193965, 0.21897)
327: (x,y) = (0.194567, 0.219769)
328: (x,y) = (0.195415, 0.220299)
329: (x,y) = (0.195432, 0.221299)
330: (x,y) = (0.196187, 0.221955)
331: (x,y) = (0.196672, 0.222829)
332: (x,y) = (0.19757, 0.223268)
333: (x,y) = (0.197605, 0.224267)
334: (x,y) = (0.198533, 0.224642)
335: (x,y) = (0.198723, 0.225623)
336: (x,y) = (0.198863, 0.226614)
337: (x,y) = (0.199087, 0.227588)
338: (x,y) = (0.199603, 0.228445)
339: (x,y) = (0.200132, 0.229293)
340: (x,y) = (0.201007, 0.229778)
341: (x,y) = (0.201146, 0.230768)
342: (x,y) = (0.202073, 0.231143)
343: (x,y) = (0.202195, 0.232135)
344: (x,y) = (0.203086, 0.232589)
345: (x,y) = (0.204071, 0.232763)
346: (x,y) = (0.204158, 0.233759)
347: (x,y) = (0.205143, 0.233933)
348: (x,y) = (0.205673, 0.234781)
349: (x,y) = (0.206428, 0.235437)
350: (x,y) = (0.207427, 0.235472)
351: (x,y) = (0.208423, 0.235559)
352: (x,y) = (0.209363, 0.235901)
353: (x,y) = (0.210151, 0.236517)
354: (x,y) = (0.211129, 0.236725)
355: (x,y) = (0.211199, 0.237722)
356: (x,y) = (0.212191, 0.237844)
357: (x,y) = (0.213153, 0.23812)
358: (x,y) = (0.21414, 0.238276)
359: (x,y) = (0.214563, 0.239182)
360: (x,y) = (0.214822, 0.240148)
361: (x,y) = (0.214995, 0.241133)
362: (x,y) = (0.215761, 0.241776)
363: (x,y) = (0.2166, 0.242321)
364: (x,y) = (0.217439, 0.242865)
365: (x,y) = (0.218372, 0.243224)
366: (x,y) = (0.219306, 0.243582)
367: (x,y) = (0.219598, 0.244538)
368: (x,y) = (0.219857, 0.245504)
369: (x,y) = (0.220797, 0.245846)
370: (x,y) = (0.221022, 0.246821)
371: (x,y) = (0.221396, 0.247748)
372: (x,y) = (0.221604, 0.248726)
373: (x,y) = (0.222544, 0.249068)
374: (x,y) = (0.222596, 0.250067)
375: (x,y) = (0.223553, 0.250359)
376: (x,y) = (0.223657, 0.251354)
377: (x,y) = (0.224657, 0.251354)
378: (x,y) = (0.22565, 0.251475)
379: (x,y) = (0.226238, 0.252284)
380: (x,y) = (0.226563, 0.25323)
381: (x,y) = (0.226702, 0.25422)
382: (x,y) = (0.226755, 0.255219)
383: (x,y) = (0.227668, 0.255626)
384: (x,y) = (0.228122, 0.256517)
385: (x,y) = (0.228227, 0.257511)
386: (x,y) = (0.228383, 0.258499)
387: (x,y) = (0.229358, 0.258724)
388: (x,y) = (0.229616, 0.25969)
389: (x,y) = (0.230336, 0.260384)
390: (x,y) = (0.231256, 0.260775)
391: (x,y) = (0.232256, 0.26081)
392: (x,y) = (0.232785, 0.261658)
393: (x,y) = (0.233455, 0.262401)
394: (x,y) = (0.2344, 0.262727)
395: (x,y) = (0.23537, 0.262969)
396: (x,y) = (0.235629, 0.263935)
397: (x,y) = (0.235786, 0.264922)
398: (x,y) = (0.236783, 0.264992)
399: (x,y) = (0.237582, 0.265594)
400: (x,y) = (0.238211, 0.266371)
401: (x,y) = (0.23904, 0.26693)
402: (x,y) = (0.239849, 0.267518)
403: (x,y) = (0.240748, 0.267956)
404: (x,y) = (0.241639, 0.26841)
405: (x,y) = (0.242609, 0.268652)
406: (x,y) = (0.243079, 0.269535)
407: (x,y) = (0.243834, 0.270191)
408: (x,y) = (0.243868, 0.271191)
409: (x,y) = (0.24455, 0.271922)
410: (x,y) = (0.245547, 0.272009)
411: (x,y) = (0.245651, 0.273004)
412: (x,y) = (0.245842, 0.273985)
413: (x,y) = (0.246168, 0.274931)
414: (x,y) = (0.246977, 0.275519)
415: (x,y) = (0.247492, 0.276376)
416: (x,y) = (0.248476, 0.276549)
417: (x,y) = (0.249416, 0.276891)
418: (x,y) = (0.249641, 0.277866)
419: (x,y) = (0.249967, 0.278811)
420: (x,y) = (0.250259, 0.279768)
421: (x,y) = (0.251237, 0.279975)
422: (x,y) = (0.251546, 0.280927)
423: (x,y) = (0.251564, 0.281926)
424: (x,y) = (0.252352, 0.282542)
425: (x,y) = (0.253326, 0.282767)
426: (x,y) = (0.254326, 0.282767)
427: (x,y) = (0.254668, 0.283707)
428: (x,y) = (0.25491, 0.284677)
429: (x,y) = (0.255032, 0.28567)
430: (x,y) = (0.255423, 0.28659)
431: (x,y) = (0.256252, 0.287149)
432: (x,y) = (0.256373, 0.288142)
433: (x,y) = (0.256748, 0.289069)
434: (x,y) = (0.257741, 0.289191)
435: (x,y) = (0.257828, 0.290187)
436: (x,y) = (0.258773, 0.290513)
437: (x,y) = (0.259724, 0.290822)
438: (x,y) = (0.260239, 0.291679)
439: (x,y) = (0.260598, 0.292612)
440: (x,y) = (0.261525, 0.292987)
441: (x,y) = (0.262521, 0.293074)
442: (x,y) = (0.26334, 0.293648)
443: (x,y) = (0.264197, 0.294163)
444: (x,y) = (0.264354, 0.29515)
445: (x,y) = (0.265351, 0.29522)
446: (x,y) = (0.265456, 0.296215)
447: (x,y) = (0.266222, 0.296857)
448: (x,y) = (0.267136, 0.297264)
449: (x,y) = (0.267526, 0.298185)
450: (x,y) = (0.268453, 0.298559)
451: (x,y) = (0.269336, 0.299029)
452: (x,y) = (0.27008, 0.299698)
453: (x,y) = (0.270287, 0.300676)
454: (x,y) = (0.271221, 0.301034)
455: (x,y) = (0.272161, 0.301376)
456: (x,y) = (0.273142, 0.301567)
457: (x,y) = (0.273772, 0.302344)
458: (x,y) = (0.27413, 0.303278)
459: (x,y) = (0.275081, 0.303587)
460: (x,y) = (0.276074, 0.303709)
461: (x,y) = (0.276703, 0.304486)
462: (x,y) = (0.277532, 0.305045)
463: (x,y) = (0.27797, 0.305944)
464: (x,y) = (0.2785, 0.306792)
465: (x,y) = (0.279451, 0.307101)
466: (x,y) = (0.280094, 0.307867)
467: (x,y) = (0.280825, 0.308549)
468: (x,y) = (0.280982, 0.309537)
469: (x,y) = (0.281902, 0.309928)
470: (x,y) = (0.282897, 0.310032)
471: (x,y) = (0.283566, 0.310775)
472: (x,y) = (0.284297, 0.311457)
473: (x,y) = (0.284992, 0.312177)
474: (x,y) = (0.285635, 0.312943)
475: (x,y) = (0.286278, 0.313709)
476: (x,y) = (0.286879, 0.314507)
477: (x,y) = (0.287762, 0.314977)
478: (x,y) = (0.287902, 0.315967)
479: (x,y) = (0.288609, 0.316674)
480: (x,y) = (0.288817, 0.317652)
481: (x,y) = (0.289446, 0.318429)
482: (x,y) = (0.290442, 0.318517)
483: (x,y) = (0.291403, 0.318792)
484: (x,y) = (0.291456, 0.319791)
485: (x,y) = (0.291846, 0.320711)
486: (x,y) = (0.292685, 0.321256)
487: (x,y) = (0.292755, 0.322254)
488: (x,y) = (0.293638, 0.322723)
489: (x,y) = (0.294168, 0.323571)
490: (x,y) = (0.294934, 0.324214)
491: (x,y) = (0.295193, 0.32518)
492: (x,y) = (0.295991, 0.325782)
493: (x,y) = (0.296491, 0.326648)
494: (x,y) = (0.296833, 0.327587)
495: (x,y) = (0.296868, 0.328587)
496: (x,y) = (0.297782, 0.328993)
497: (x,y) = (0.298124, 0.329933)
498: (x,y) = (0.298753, 0.33071)
499: (x,y) = (0.299727, 0.330935)
500: (x,y) = (0.300329, 0.331734)
501: (x,y) = (0.300554, 0.332708)
502: (x,y) = (0.300572, 0.333708)
503: (x,y) = (0.301201, 0.334485)
504: (x,y) = (0.302092, 0.334939)
505: (x,y) = (0.303062, 0.335181)
506: (x,y) = (0.30327, 0.336159)
507: (x,y) = (0.303546, 0.337121)
508: (x,y) = (0.303904, 0.338054)
509: (x,y) = (0.304611, 0.338761)
510: (x,y) = (0.305141, 0.339609)
511: (x,y) = (0.305211, 0.340607)
512: (x,y) = (0.305966, 0.341263)
513: (x,y) = (0.306053, 0.342259)
514: (x,y) = (0.30676, 0.342966)
515: (x,y) = (0.307599, 0.343511)
516: (x,y) = (0.308214, 0.344299)
517: (x,y) = (0.309128, 0.344706)
518: (x,y) = (0.309628, 0.345572)
519: (x,y) = (0.310172, 0.34641)
520: (x,y) = (0.310788, 0.347198)
521: (x,y) = (0.310893, 0.348193)
522: (x,y) = (0.311508, 0.348981)
523: (x,y) = (0.312228, 0.349676)
524: (x,y) = (0.312922, 0.350395)
525: (x,y) = (0.313797, 0.35088)
526: (x,y) = (0.31437, 0.351699)
527: (x,y) = (0.31537, 0.351734)
528: (x,y) = (0.316208, 0.352278)
529: (x,y) = (0.316296, 0.353275)
530: (x,y) = (0.317039, 0.353944)
531: (x,y) = (0.317583, 0.354782)
532: (x,y) = (0.318458, 0.355267)
533: (x,y) = (0.319224, 0.35591)
534: (x,y) = (0.320053, 0.356469)
535: (x,y) = (0.321035, 0.35666)
536: (x,y) = (0.322016, 0.356851)
537: (x,y) = (0.322685, 0.357594)
538: (x,y) = (0.323505, 0.358167)
539: (x,y) = (0.324259, 0.358824)
540: (x,y) = (0.324398, 0.359814)
541: (x,y) = (0.324589, 0.360795)
542: (x,y) = (0.325516, 0.36117)
